Код_ISO_субъекта,Субъект_РФ,Индекс_сложности_трудоустройства_1_10,Индекс_при_других_весах_min,Индекс_при_других_весах_max,Лучшее_место_при_других_весах,Худшее_место_при_других_весах,Требуется_работников_человек,Оценка_безработных_человек,Вакансий_на_одного_безработного_V_U,Вакансий_на_10_тыс_рабочей_силы,Доля_вакантных_мест_в_обследованных_организациях_pct,Уровень_безработицы_окт_дек_2024_pct,Уровень_занятости_окт_дек_2024_pct,Уровень_безработицы_2024_pct,Безработица_плюс_потенциальная_рабочая_сила_2024_pct,Структурное_несовпадение_профгрупп_0_1,Среднее_время_поиска_работы_месяцев,Ищут_работу_12_месяцев_и_более_pct,Официальный_коэффициент_напряженности_2024,Сигнал_недоиспользования_труда_0_1,Сигнал_нехватки_вакансий_0_1,Сигнал_структурного_несовпадения_0_1,Сигнал_длительности_поиска_0_1,Сигнал_низкой_оплаты_0_1,Медианная_зарплата_апрель_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Медианная_зарплата_к_прожиточному_минимуму,Зарплатный_запас_после_прожиточного_минимума_руб,Привлекательность_зарплаты_1_10,Рабочая_сила_окт_дек_2024_тыс,Рост_средней_зарплаты_2024_к_2023_pct,Рост_зарплаты_июнь_2026_г_г_pct,Осторожность_при_интерпретации_безработицы,Ограничение_охвата,Внешняя_проверка_Спирмен_rho,Максимальная_корреляция_компонентов_Спирмен_rho,Версия_формулы,Интерпретация_внешней_проверки
RU-KO,Республика Коми,7.98,7.69,8.26,5,9,8386.97,11345.039,0.7392632145204612,229.171596501343,4.62,3.1,63.9,3.7,5.6,0.16888810911003016,7.0,30.8,1.2,0.8373493975903614,0.9390243902439024,0.7804878048780488,0.9118782823602101,0.2289156626506024,78159.0,22228.0,3.5162407773978765,55931.0,7.94,365.969,14.136797616155118,7.847276371301781,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KOS,Костромская область,5.21,5.01,5.42,42,53,7622.89,6199.049999999999,1.2296868068494369,270.5310975068761,7.27,2.2,64.6,2.4,3.5,0.11657130581847677,4.1,9.3,0.8,0.5240963855421686,0.35365853658536583,0.2804878048780488,0.24080939141180105,0.8554216867469879,52059.0,17782.0,2.9276234394331344,34277.0,2.3,281.775,21.774769686689964,10.55389457356435,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KR,Республика Карелия,7.84,7.64,8.04,7,10,6040.09,9810.042,0.6157048053413023,233.9678260296949,5.62,3.8,62.0,4.1,6.2,0.17794859652308453,5.8,18.0,1.5,0.8674698795180723,0.8048780487804879,0.8658536585365854,0.6375502008032128,0.39759036144578314,69214.0,21456.0,3.225857568978374,47758.0,6.42,258.159,14.258918484023365,6.689875469945394,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KRS,Курская область,5.02,4.54,5.37,41,61,14456.47,9491.015000000001,1.523174286417206,258.939628690925,6.16,1.7,67.7,1.9,2.1,0.1764190319509334,4.1,,1.0,0.09036144578313253,0.6341463414634146,0.8536585365853658,0.3433734939759036,0.5783132530120482,59197.0,16817.0,3.520068977820063,42380.0,4.8,558.295,21.342375587486508,11.089226676557296,Для части показателей длительности поиска нет опубликованного значения; использован нейтральный процентиль.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KYA,Красноярский край,4.07,3.88,4.39,63,69,47590.57,25175.453000000005,1.8903560543677205,321.3605292425125,6.92,1.7,68.3,1.5,2.4,0.12682570446650615,6.7,18.7,0.4,0.1746987951807229,0.4573170731707317,0.4268292682926829,0.7565647204201421,0.1927710843373494,81731.0,21456.0,3.809237509321402,60275.0,8.27,1480.909,16.982719268489998,14.099706819653557,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-LEN,Ленинградская область,3.98,3.52,4.46,64,76,39874.17,31822.531999999996,1.253016887531137,350.8447285087183,9.93,2.8,68.8,2.8,3.3,0.195279992281813,4.6,7.0,0.5,0.4578313253012048,0.04878048780487805,0.9146341463414634,0.25278035217794254,0.14457831325301204,85233.0,20682.0,4.121119814331302,64551.0,8.7,1136.519,20.496493316402685,6.731569046821462,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-LIP,Липецкая область,3.69,3.61,3.83,70,75,18961.46,12485.234999999999,1.518710701080116,318.9292472268243,8.5,2.1,67.9,2.1,2.6,0.12809560293979205,4.6,6.9,0.7,0.2469879518072289,0.23170731707317074,0.43902439024390244,0.24637009576768615,0.4578313253012048,62201.0,16043.0,3.877142679050053,46158.0,5.88,594.535,26.8878567550771,10.222330808697787,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-MAG,Магаданская область,3.21,2.98,3.59,77,80,4857.4,1561.72,3.1102886560971235,622.0577312194247,10.66,2.0,72.6,2.6,3.0,0.11901004167254395,8.6,13.0,0.6,0.37349397590361444,0.036585365853658534,0.34146341463414637,0.7247451343836886,0.03614457831325301,130724.0,33632.0,3.886893434823977,97092.0,9.67,78.086,16.002953353410998,16.451178010251443,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ME,Республика Марий Эл,6.58,6.27,6.98,16,25,5461.23,7301.520000000001,0.7479579594385825,149.59159188771653,4.92,2.0,70.9,2.3,3.2,0.11275984641354478,7.0,24.3,0.9,0.42771084337349397,0.8780487804878049,0.21951219512195122,0.8605962310781587,0.7590361445783133,53930.0,17009.0,3.1706743488741256,36921.0,3.17,365.076,23.453737949668295,9.409015419205469,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-MO,Республика Мордовия,5.13,4.84,5.52,40,60,8996.11,7320.78,1.2288458333674828,221.1922500061469,6.31,1.8,66.3,2.0,2.6,0.07434525826577915,8.0,27.8,1.0,0.2469879518072289,0.5975609756097561,0.012195121951219513,0.9626969416126043,0.7831325301204819,53078.0,16430.0,3.2305538648813146,36648.0,2.95,406.71,23.441601091331464,7.626018163027326,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-MOS,Московская область,3.02,2.69,3.38,78,80,198993.22,75343.264,2.64115475538729,422.58476086196634,10.96,1.6,71.3,1.7,2.7,0.14968666059723346,3.9,6.4,1.0,0.29518072289156627,0.024390243902439025,0.6585365853658537,0.13755020080321284,0.13253012048192772,90768.0,21039.0,4.314273492086126,69729.0,8.81,4708.954,19.77963206522628,16.053235498638706,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-MOW,Москва,2.71,2.33,3.33,79,83,346626.11,64776.537000000004,5.351105910462611,481.59953194163495,9.37,0.9,71.9,1.0,1.3,0.1970406898626279,5.0,7.4,0.7,0.0,0.13414634146341464,0.926829268292683,0.3198177324683349,0.024096385542168676,128429.0,27302.0,4.704014357922497,101127.0,9.78,7197.393,18.984102846733684,9.241600535116156,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-MUR,Мурманская область,6.38,5.98,6.64,19,30,8640.4,8570.725,1.008129417289669,252.0323543224173,5.03,2.5,66.4,2.6,4.4,0.11298556055296308,5.1,15.1,0.5,0.7530120481927711,0.8414634146341463,0.23170731707317074,0.5173772011121408,0.12048192771084337,99645.0,27675.0,3.600542005420054,71970.0,8.92,342.829,15.489357020208082,12.939797769010998,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-NEN,Ненецкий автономный округ,7.3,6.9,7.64,11,15,776.7,,,,3.93,,,5.0,7.1,0.12016300292594428,6.8,12.5,1.4,0.9096385542168675,0.9512195121951219,0.36585365853658536,0.6147667593450725,0.060240963855421686,125179.0,32034.0,3.907691827433352,93145.0,9.46,,,,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-NGR,Новгородская область,3.78,3.57,4.23,66,75,10164.38,3452.592,2.9439852725140994,353.27823270169193,9.16,1.2,65.7,1.4,2.5,0.10770768837021008,6.5,23.8,0.7,0.21084337349397592,0.15853658536585366,0.1951219512195122,0.8120172999691071,0.6626506024096386,57919.0,18942.0,3.0577024601414844,38977.0,4.04,287.716,17.503290813374896,20.04120442001076,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-NIZ,Нижегородская область,3.48,3.19,3.69,74,79,51782.24,19794.432,2.616000297457386,313.92003569488634,7.2,1.2,70.0,1.3,1.8,0.1334234444317616,4.9,12.1,0.3,0.03614457831325301,0.3780487804878049,0.5,0.388476984862527,0.3614457831325301,67691.0,18169.0,3.7256315702570313,49522.0,6.75,1649.536,23.823246241494765,11.91886837095877,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-NVS,Новосибирская область,6.55,6.35,6.75,17,24,34035.28,29013.096,1.1731005887823898,246.35112364430185,6.29,2.1,64.9,2.8,4.3,0.18692369395536323,5.0,13.2,0.9,0.7168674698795181,0.6097560975609756,0.8780487804878049,0.4544331170837195,0.26506024096385544,72658.0,18942.0,3.8358145919121527,53716.0,7.61,1381.576,20.996630703730055,11.54955064300256,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-OMS,Омская область,5.28,4.99,5.63,35,53,26475.07,27599.79,0.9592489653000983,287.7746895900295,7.85,3.0,65.3,3.0,4.2,0.08790144274675821,5.7,18.6,1.4,0.6807228915662651,0.3048780487804878,0.08536585365853659,0.6447327772628978,0.6024096385542169,57978.0,16816.0,3.4477878211227404,41162.0,4.58,919.993,18.019663494463177,12.377674654044801,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ORE,Оренбургская область,5.21,4.69,5.68,37,56,18449.52,14325.615000000002,1.2878693166052555,193.18039749078835,6.32,1.5,68.3,1.6,1.9,0.2099599848959541,6.4,19.9,0.7,0.05421686746987952,0.5853658536585366,0.975609756097561,0.733240654927402,0.5903614457831325,59061.0,16817.0,3.5119819230540523,42244.0,4.69,955.041,19.391933171934927,9.688672102431584,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ORL,Орловская область,7.17,6.97,7.27,12,15,8656.34,8064.311999999999,1.0734133302382152,257.6191992571716,6.36,2.4,61.3,2.6,4.4,0.16579277108433282,5.4,8.6,0.6,0.7530120481927711,0.5609756097560976,0.7439024390243902,0.3838430645659561,0.891566265060241,50517.0,17976.0,2.8102469959946594,32541.0,1.98,336.013,17.960909866573683,10.561040098648288,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-PER,Пермский край,5.42,5.27,5.59,38,45,30984.56,22788.999,1.3596279503105864,258.3293105590114,6.23,1.9,63.3,2.2,3.3,0.11775318862712249,5.9,21.3,0.9,0.4578313253012048,0.6219512195121951,0.32926829268292684,0.7201112140871178,0.3253012048192771,68680.0,17782.0,3.8623326959847035,50898.0,7.07,1199.421,20.452890623355646,11.741058477350919,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-PNZ,Пензенская область,5.64,5.39,5.89,32,43,13917.92,10820.704,1.2862305447039306,218.6591925996682,7.09,1.7,65.6,2.2,3.5,0.17186257684600814,4.0,4.6,1.4,0.5240963855421686,0.3902439024390244,0.8048780487804879,0.11434198331788695,0.7108433734939759,54064.0,16237.0,3.3296791279177187,37827.0,3.6,636.512,19.31934243686142,11.851982777514603,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-PRI,Приморский край,4.64,4.24,5.03,54,62,32717.71,22913.29,1.4278922843467698,328.4152253997571,9.88,2.3,70.2,2.1,3.6,0.15786901797290662,6.8,25.3,0.4,0.5783132530120482,0.07317073170731707,0.6951219512195121,0.8615616311399443,0.18072289156626506,85433.0,23001.0,3.7143167688361376,62432.0,8.37,996.23,20.451335444559525,7.500506230337267,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-PSK,Псковская область,5.25,5.01,5.56,38,52,8587.29,7330.444999999999,1.1714554846261043,269.43476146400394,7.92,2.3,69.4,2.3,3.5,0.09022310105142313,7.1,20.5,0.7,0.5240963855421686,0.2804878048780488,0.0975609756097561,0.8213623725671919,0.8795180722891566,51766.0,19136.0,2.7051630434782608,32630.0,2.08,318.715,22.587152444870597,11.356844892656447,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ROS,Ростовская область,4.43,4.14,4.67,58,67,67901.38,51445.043,1.3198818786097624,303.57283208024535,9.8,2.3,68.9,2.4,3.6,0.1232094155240297,4.4,3.3,1.1,0.5783132530120482,0.09146341463414634,0.4024390243902439,0.15855730614766758,0.6144578313253012,59145.0,18169.0,3.2552699653255543,40976.0,4.47,2236.741,18.913073753369012,12.644789343775088,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-RYA,Рязанская область,5.63,5.47,5.75,33,43,13434.31,11626.186,1.1555216818309977,254.2147700028195,6.42,2.2,62.4,2.3,3.0,0.14526419998902804,5.4,17.7,0.8,0.37349397590361444,0.5487804878048781,0.6341463414634146,0.5793558850787766,0.6265060240963856,57715.0,17202.0,3.3551331240553424,40513.0,4.36,528.463,20.056964007338497,14.31911799397032,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SA,Республика Саха (Якутия),6.86,6.32,7.18,12,25,15426.07,27490.996000000003,0.5611317247290712,291.78849685911706,4.94,5.2,67.8,5.1,7.1,0.1287957567044478,4.0,5.0,2.6,0.9096385542168675,0.8658536585365854,0.45121951219512196,0.1367778807537844,0.08433734939759036,110124.0,29187.0,3.773049645390071,80937.0,9.24,528.673,14.875752254350871,6.374572980412396,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SAK,Сахалинская область,5.45,5.06,5.74,33,54,6541.1,4618.781,1.4161961781690884,240.75335028874503,5.56,1.7,75.6,2.4,3.6,0.11478023070087189,4.1,4.8,0.6,0.5783132530120482,0.8170731707317073,0.25609756097560976,0.1542709298733395,0.04819277108433735,120477.0,26288.0,4.582965611685941,94189.0,9.57,271.693,15.368510726654305,6.895811502610538,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SAM,Самарская область,5.16,4.87,5.37,43,57,37459.72,31953.515999999996,1.1723191901636116,222.74064613108618,5.84,1.9,69.7,2.0,2.6,0.13968566142289013,4.2,8.9,0.7,0.2469879518072289,0.7134146341463414,0.5975609756097561,0.2456750077232005,0.4457831325301205,64400.0,18169.0,3.5444988717045516,46231.0,5.99,1681.764,21.632530882490574,11.634596740450466,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SAR,Саратовская область,5.2,4.74,5.43,40,55,22614.67,20000.208000000002,1.1307217404938987,180.9154784790238,5.84,1.6,67.1,1.8,2.0,0.16258569585927107,4.1,9.1,0.8,0.07228915662650602,0.7134146341463414,0.7195121951219512,0.23439913500154463,0.7710843373493976,53022.0,16237.0,3.265504711461477,36785.0,3.06,1250.013,16.95232064285794,12.846455467365047,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SE,Республика Северная Осетия-Алания,7.97,7.34,8.32,6,11,3590.45,24375.674000000003,0.14729643988510838,108.99936551498021,4.71,7.4,60.3,8.8,9.7,0.07929235827997633,4.8,12.9,17.4,0.9518072289156626,0.9024390243902439,0.04878048780487805,0.39264751312944085,0.9518072289156626,36962.0,17396.0,2.124741319843642,19566.0,1.43,329.401,15.586152610088554,15.440725385108035,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SMO,Смоленская область,6.88,6.67,7.07,14,18,9397.63,9260.580000000002,1.0147992890294126,202.95985780588256,5.72,2.0,67.4,2.6,3.7,0.12245239769832013,5.3,15.8,0.7,0.6144578313253012,0.7560975609756098,0.3902439024390244,0.5542940994748223,0.8192771084337349,54089.0,19136.0,2.8265572742474916,34953.0,2.63,463.029,21.685003603313113,12.819614759522334,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SPE,Санкт-Петербург,2.74,2.44,3.11,81,83,122874.31,48921.615,2.511656861696001,376.7485292544001,8.31,1.5,74.3,1.5,1.7,0.14963536386430493,4.5,2.2,0.9,0.024096385542168676,0.24390243902439024,0.6463414634146342,0.1513747296879827,0.10843373493975904,99944.0,21069.0,4.743651810717167,78875.0,9.02,3261.441,13.96113469264504,10.600715820284279,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
